actual,proposed
-3.4576711654663086,-3.3248727321624756
-3.6787192821502686,-3.358072280883789
-3.6824653148651123,-3.4382340908050537
-3.6824653148651123,-3.4992918968200684
-3.6824653148651123,-3.5450851917266846
-3.6824653148651123,-3.579430341720581
-3.880425453186035,-3.605189085006714
-3.8725829124450684,-3.6739981174468994
-3.8647384643554688,-3.723644495010376
-3.8686609268188477,-3.758918046951294
-3.8686609268188477,-3.786353588104248
-3.8686609268188477,-3.8069305419921875
-4.008702278137207,-3.8223631381988525
-4.00465202331543,-3.868947982788086
-4.000600337982178,-3.902873992919922
-3.996548652648926,-3.9273056983947754
-3.996548652648926,-3.9446163177490234
-4.058136940002441,-3.957599401473999
-4.058136940002441,-3.982733726501465
-4.054023742675781,-4.001584529876709
-4.049910068511963,-4.0146942138671875
-4.049910068511963,-4.023498058319092
-4.1889519691467285,-4.030101299285889
-4.1931915283203125,-4.0698137283325195
-4.1931915283203125,-4.100658416748047
-4.1931915283203125,-4.123791694641113
-4.1889519691467285,-4.141141414642334
-4.37698221206665,-4.153094291687012
-4.37698221206665,-4.209065914154053
-4.37698221206665,-4.251045227050781
-4.37698221206665,-4.282529354095459
-4.37698221206665,-4.306142330169678
-4.37698221206665,-4.3238525390625
-4.463987827301025,-4.337134838104248
-4.459506988525391,-4.3688483238220215
-4.459506988525391,-4.391512870788574
-4.459506988525391,-4.408511638641357
-4.455025672912598,-4.421260356903076
-4.815515041351318,-4.429701805114746
-4.820308685302734,-4.5261549949646
-4.815515041351318,-4.599693298339844
-4.810719966888428,-4.653648853302002
-4.805923938751221,-4.692916393280029
-5.2202839851379395,-4.721168518066406
-5.20997428894043,-4.845947265625
-5.204817771911621,-4.936954021453857
-5.204817771911621,-5.003920078277588
-5.19965934753418,-5.054144382476807
-5.19965934753418,-5.0905232429504395
-5.446568489074707,-5.117807388305664
-5.441202640533447,-5.199997425079346
-5.441202640533447,-5.260298728942871
-5.451932907104492,-5.305524826049805
-5.441202640533447,-5.342126846313477
-5.690828323364258,-5.36689567565918
-5.685257911682129,-5.447878837585449
-5.690828323364258,-5.507223606109619
-5.679686069488525,-5.553124904632568
-5.679686069488525,-5.5847649574279785
-5.9930572509765625,-5.608495235443115
-5.987244129180908,-5.7046356201171875
-5.981428623199463,-5.775287628173828
-5.987244129180908,-5.826822757720947
-5.987244129180908,-5.8669281005859375
-6.31361722946167,-5.897006988525391
-6.301506042480469,-6.00115966796875
-6.301506042480469,-6.07624626159668
-6.28938627243042,-6.132561206817627
-6.283323287963867,-6.171767711639404
-6.610625743865967,-6.1996564865112305
-6.604323387145996,-6.302398681640625
-6.604323387145996,-6.377880096435547
-6.604323387145996,-6.43449068069458
-6.598017692565918,-6.4769487380981445
-6.591710090637207,-6.507215976715088
-6.822286128997803,-6.528339385986328
-6.81581974029541,-6.601826190948486
-6.8028788566589355,-6.655324459075928
-6.796403884887695,-6.69221305847168
-6.796403884887695,-6.718260765075684
-7.195815563201904,-6.737796306610107
-7.20253324508667,-6.852301120758057
-7.195815563201904,-6.939859390258789
-7.195815563201904,-7.003848552703857
-7.195815563201904,-7.051840305328369
-7.369630813598633,-7.087833881378174
-7.376453876495361,-7.158283233642578
-7.376453876495361,-7.212825775146484
-7.369630813598633,-7.253732681274414
-7.362804889678955,-7.282707214355469
-7.464915752410889,-7.302731513977051
-7.451131343841553,-7.343277454376221
-7.437332630157471,-7.370241165161133
-7.437332630157471,-7.387013912200928
-7.4442338943481445,-7.399593830108643
